iter	Passed	Remaining
0	4	4215
1	7	3959
2	10	3571
3	13	3321
4	16	3206
5	18	3070
6	21	2989
7	24	2984
8	26	2924
9	29	2886
10	31	2836
11	34	2815
12	37	2812
13	39	2812
14	42	2792
15	45	2785
16	47	2766
17	50	2738
18	52	2732
19	55	2706
20	57	2681
21	59	2666
22	62	2641
23	64	2620
24	67	2638
25	70	2635
26	72	2628
27	75	2621
28	77	2610
29	81	2619
30	84	2632
31	87	2636
32	89	2630
33	92	2638
34	95	2637
35	98	2636
36	101	2637
37	103	2631
38	106	2628
39	109	2619
40	111	2612
41	114	2609
42	117	2612
43	119	2607
44	122	2601
45	124	2591
46	127	2593
47	130	2586
48	133	2583
49	135	2579
50	138	2579
51	141	2587
52	145	2592
53	148	2598
54	151	2600
55	154	2608
56	158	2616
57	161	2625
58	165	2632
59	168	2635
60	171	2635
61	174	2641
62	177	2634
63	179	2630
64	182	2629
65	186	2634
66	189	2631
67	191	2628
68	194	2628
69	197	2620
70	200	2618
71	202	2609
72	204	2600
73	207	2593
74	209	2586
75	212	2582
76	214	2576
77	217	2568
78	219	2562
79	222	2554
80	224	2547
81	227	2542
82	229	2535
83	231	2529
84	234	2523
85	236	2515
86	239	2510
87	241	2502
88	243	2495
89	246	2490
90	248	2486
91	251	2479
92	253	2475
93	256	2470
94	258	2466
95	261	2466
96	264	2464
97	267	2465
98	270	2465
99	274	2467
100	277	2466
101	280	2466
102	283	2464
103	285	2460
104	288	2458
105	291	2454
106	293	2452
107	296	2446
108	298	2443
109	301	2441
110	304	2436
111	307	2436
112	310	2433
113	312	2431
114	315	2430
115	318	2430
116	322	2432
117	325	2430
118	328	2429
119	330	2425
120	333	2423
121	337	2430
122	341	2434
123	344	2431
124	347	2431
125	350	2432
126	353	2431
127	357	2432
128	360	2431
129	363	2431
130	366	2432
131	370	2434
132	373	2434
133	376	2433
134	379	2433
135	382	2433
136	386	2434
137	389	2432
138	392	2432
139	396	2433
140	399	2433
141	402	2433
142	405	2432
143	408	2428
144	411	2426
145	414	2426
146	417	2423
147	419	2412
148	422	2412
149	426	2414
150	429	2417
151	434	2421
152	437	2421
153	441	2422
154	444	2423
155	448	2426
156	452	2427
157	455	2427
158	459	2429
159	462	2430
160	466	2431
161	470	2433
162	475	2440
163	478	2440
164	481	2435
165	484	2432
166	487	2433
167	491	2433
168	494	2433
169	497	2431
170	501	2430
171	504	2428
172	507	2427
173	511	2426
174	514	2425
175	516	2419
176	519	2414
177	521	2409
178	524	2404
179	526	2397
180	528	2392
181	530	2386
182	533	2379
183	535	2373
184	537	2366
185	539	2363
186	542	2357
187	544	2351
188	546	2346
189	548	2340
190	551	2334
191	553	2329
192	555	2324
193	558	2319
194	560	2314
195	562	2309
196	565	2304
197	567	2298
198	570	2294
199	572	2288
200	574	2283
201	576	2278
202	579	2274
203	581	2269
204	583	2262
205	586	2258
206	588	2254
207	590	2248
208	592	2244
209	595	2239
210	597	2234
211	600	2230
212	602	2226
213	604	2221
214	607	2217
215	609	2211
216	611	2207
217	614	2202
218	616	2197
219	618	2192
220	620	2188
221	622	2182
222	624	2176
223	627	2173
224	630	2171
225	633	2169
226	636	2165
227	638	2161
228	640	2157
229	642	2151
